record_id,muni_name,hybrid,veh_type,fuel,year,make_name,q1_2008,q2_2008,q3_2008,q4_2008,mi_per_day,mpg_adj,gal_perday,co2eqv_day,curbwt,msrp,mpg2008,veh_zip
11841847,BOSTON,0,Van,Gasoline,2009,Toyota,0,0,0,1,19.26,19.00,1.01,9.18,4500,29000,19,02127
7393225,BOSTON,0,Car,Gasoline,2008,Toyota,0,0,1,1,16.73,30.38,0.55,4.99,2600,16000,31,02124
4545978,BOSTON,0,SUV,Gasoline,2000,Honda,0,0,0,1,31.36,13.07,2.40,21.72,4100,28000,16,02124
15682535,BOSTON,0,SUV,Gasoline,2003,Honda,0,0,0,1,25.99,15.06,1.73,15.63,4400,27000,17,02108
191174,BOSTON,0,SUV,Gasoline,2000,Ford,0,1,1,1,23.19,13.07,1.77,16.07,3900,30000,16,02125
513520,BOSTON,0,Car,Gasoline,2001,Bmw,0,0,0,1,28.58,17.02,1.68,15.21,3400,29000,20,02128
6873961,BOSTON,0,Car,Gasoline,2007,Honda,0,0,0,1,32.32,27.85,1.16,10.51,2700,18000,29,02116
475091,BOSTON,0,Car,Gasoline,2004,Audi,1,1,1,1,48.08,15.37,3.13,28.33,3800,46000,17,02127
15697265,BOSTON,0,Car,Gasoline,2003,Mercury,0,0,0,1,29.82,16.83,1.77,16.05,4000,29000,19,02122
14365532,BOSTON,0,Car,Gasoline,2006,Mazda,0,0,1,1,58.22,25.41,2.29,20.75,2700,15000,27,02125
6216184,BOSTON,0,SUV,Gasoline,2005,Lexus,0,0,1,1,18.67,16.60,1.12,10.18,4100,38000,18,02122
10883016,BOSTON,0,SUV,Gasoline,1999,Ford,1,1,1,0,10.8,12.51,0.86,7.82,3900,24000,15,02210
8410289,BOSTON,0,Car,Gasoline,2007,Nissan,0,0,1,1,56.76,26.89,2.11,19.11,2700,15000,28,02118
13191426,BOSTON,0,Car,Gasoline,2000,Volkswagen,1,1,1,1,21.97,19.18,1.15,10.38,2900,17000,23,02124
934363,BOSTON,0,Car,Gasoline,2007,Toyota,0,0,1,1,0,29.77,0.00,0.00,2600,16000,31,02128
13883104,BOSTON,1,SUV,Gasoline,2008,Toyota,0,1,1,1,17.16,25.48,0.67,6.10,4500,34000,26,02215
11906810,BOSTON,0,Truck,Gasoline,2006,Ford,0,1,1,0,40.52,13.45,3.01,27.29,5200,33000,14,02124
15826526,BOSTON,0,Car,Gasoline,1995,Nissan,0,0,0,1,0,15.83,0.00,0.00,3000,23000,21,02127
9656449,BOSTON,0,Car,Gasoline,2007,Nissan,0,0,1,1,45.49,26.89,1.69,15.32,2700,15000,28,02210
10673577,BOSTON,0,Car,Gasoline,2000,Audi,0,0,1,1,20.39,15.01,1.36,12.31,3600,36000,18,02127
4915483,BOSTON,0,Car,Gasoline,2001,Honda,1,1,1,0,28.5,25.18,1.13,10.25,2600,17000,29,02124
12228542,BOSTON,0,Car,Gasoline,2007,Toyota,0,0,1,1,42.57,30.73,1.39,12.55,2300,12000,32,02127
4638846,BOSTON,0,Car,Gasoline,1997,Geo,1,1,1,1,11.95,21.19,0.56,5.11,2400,14000,27,02125
11677153,BOSTON,0,Car,Flexfuel,2001,Ford,0,1,1,1,12.8,17.87,0.72,6.49,3400,19000,21,02124
3000424,BOSTON,0,Car,Gasoline,2005,Honda,0,0,0,1,30.94,23.06,1.34,12.15,3100,21000,25,02122
4586268,BOSTON,0,Van,Gasoline,2004,Toyota,0,0,0,1,51.75,18.45,2.81,25.40,4100,24000,20,02119
3463515,BOSTON,0,Car,Gasoline,2003,Ford,1,1,1,1,336.78,15.95,21.12,191.27,3900,0,18,02127
7916665,BOSTON,0,Van,Gasoline,2005,Toyota,0,0,1,1,36.53,18.45,1.98,17.93,4100,25000,20,02124
7708485,BOSTON,0,Truck,Gasoline,2007,Chevrolet,0,0,1,1,71.65,14.41,4.97,45.04,5300,31000,15,02128
13512428,BOSTON,0,Van,Gasoline,2000,Toyota,1,1,1,1,31.56,15.31,2.06,18.67,3800,27000,18,02120
7352642,BOSTON,0,Car,Gasoline,2001,Hyundai,0,0,0,1,16.32,21.27,0.77,6.95,2600,13000,25,02128
4500478,BOSTON,0,Car,Gasoline,2003,Honda,1,1,1,1,36.03,19.49,1.85,16.74,3400,28000,22,02118
